,Unnamed: 0,Artists,Name,Year,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
0,0,Crazy Town,Butterfly,2001,"Rock,Rap",0.13,71.36,80.32,81.82,33.79,60.87,4
1,1,Iggy Azalea,Fancy,2014,"Fashion,Hyphy,Electronic,UK Rap,UK,Australia,Electro-Hop,Pop,Rap",9.24,91.52,70.21,90.91,28.53,36.27,2
2,2,Ariana Grande,7 Rings,2019,"Memes,Trap,R&;B,Pop",60.53,76.17,27.76,9.09,56.33,30.97,3
3,3,Taio Cruz,Break Your Heart,2010,"Pop,Rap",0.16,63.34,89.68,72.73,45.23,62.99,4
4,4,Jennifer Lopez,I'm Real,2001,"Remix,R&;B,Rap",0.48,87.29,83.72,63.64,38.28,74.02,4
5,5,Chamillionaire,Ridin',2006,"Conscious Hip-Hop,Gangsta Rap,Memes,Rap",19.32,77.32,78.93,72.73,58.18,84.94,4
6,6,Ariana Grande,"Thank U, Next",2018,"Dream-Pop,Memes,R&;B,Pop",23.41,69.19,63.51,9.09,35.92,39.99,1
7,7,Taylor Swift,Blank Space,2015,"Teen Pop,Synth-Pop,Electro-Pop,Pop",8.69,73.2,66.17,45.45,29.17,58.12,4
8,8,Cardi B,Bodak Yellow,2017,"Trap,Rap",6.74,93.13,68.83,100.0,47.06,47.73,2
9,9,Lorde,Royals,2013,"Alternative,Art Pop,Adult Alternative,New Zealand,Memes,Electro-Pop,Alternative Pop,Pop",4.14,63.46,48.93,63.64,22.31,36.59,2
10,10,Sia,Cheap Thrills,2016,"Jamaica,Remix,Australia,Rap,Synth-Pop,Pop",4.83,58.99,68.29,54.55,25.45,73.92,4
11,11,Rihanna,SOS,2006,"Synth-Pop,Dance-Pop,Dance,Pop",0.41,64.6,65.42,63.64,54.48,52.18,0
12,12,Mariah Carey,We Belong Together,2005,"R&;B,Pop",3.47,82.93,43.19,0.0,56.29,77.1,1
13,13,Bruno Mars,Just The Way You Are,2010,"Ballad,Adult Contemporary,Soul Pop,Soul,R&;B,Pop",1.54,60.02,83.72,45.45,37.19,42.32,0
14,14,Katy Perry,E.T.,2011,"Remix,Hip-Hop,Electronic,Rap,Pop",1.85,58.08,86.49,9.09,63.5,76.88,1
15,15,Katy Perry,I Kissed A Girl,2008,"Rock,Pop-Rock,Dance-Pop,Pop",0.23,67.12,74.89,45.45,50.13,70.1,4
16,16,Miley Cyrus,Wrecking Ball,2013,"Adult Contemporary,Ballad,Memes,Pop",41.62,47.77,38.93,45.45,43.94,33.31,3
17,17,Bruno Mars,Locked Out Of Heaven,2012,Pop,5.01,70.22,68.29,45.45,58.76,88.23,4
18,18,Maroon 5,Girls Like You,2018,"Pop-Rock,East Coast,Remix,Rap,Pop",57.06,57.04,43.19,0.0,6.73,36.27,3
19,19,Maroon 5,One More Night,2012,"Pop-Rock,Pop",4.54,69.3,81.27,45.45,27.31,61.3,4
20,20,TLC,Unpretty,1999,"R&;B,Rap",0.16,61.28,60.21,63.64,24.65,50.38,2
21,21,Drake,One Dance,2016,"Nigeria,Afrobeats,Pop,Rap,R&;B,Dancehall,Canada",0.79,77.78,60.53,9.09,34.08,35.53,1
22,22,Nelly Furtado,Promiscuous,2006,"Dance-Pop,Synth-Pop,R&;B,Canada,Pop,Rap",4.7,78.12,98.08,90.91,40.46,85.69,4
23,23,Nelly,Hot In Herre,2002,"Funk,Hip-Hop,Go-Go,Pop,Rap",21.06,96.56,73.3,100.0,35.99,93.0,4
24,24,Rihanna,Diamonds,2012,"R&;B,Pop",0.13,51.66,69.57,100.0,26.68,37.97,2
25,25,Rae Sremmurd,Black Beatles,2016,"Hip-Hop,Dirty South,Memes,Producer,Trap,Rap",14.52,78.01,61.27,0.0,59.95,33.94,1
26,26,Leona Lewis,Bleeding Love,2008,"Adult Contemporary,Ballad,Brit Pop,Soul Pop,UK,R&;B,Pop",16.97,60.6,64.89,45.45,34.12,16.98,2
27,27,Shaggy,Angel,2001,"Jamaica,Dance,Reggae,R&;B",11.86,71.82,75.53,54.55,75.13,81.87,4
28,28,Lady Gaga,Poker Face,2009,"Dance-Pop,Pop",12.07,84.54,79.79,36.36,43.35,79.75,4
29,29,Savage Garden,I Knew I Loved You,2000,"Adult Contemporary,Australia,Ballad,Pop",32.72,56.93,46.91,81.82,22.4,74.66,2
30,30,Taylor Swift,Look What You Made Me Do,2017,"Beef,Dance-Pop,Alternative Pop,Electro-Pop,Pop",20.86,74.8,69.46,81.82,48.94,49.95,2
31,31,Rihanna,Rude Boy,2010,"Dancehall,Reggae,Rap,R&;B,Pop",12.07,51.32,73.51,27.27,77.22,78.37,1
32,32,Daniel Powter,Bad Day,2006,"Pop-Rock,Pop,Rock",45.81,55.67,77.55,27.27,56.33,51.44,1
